epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.909,2.02767,4.1805,1.52017,0.40719,0.38226,0.3362,0.15199,1.92334,2.63817,1.57852,0.000665963,0.000665963,0.000665963
2,509.603,1.96561,1.93022,1.49583,0.64608,0.5156,0.55184,0.25692,1.83798,1.65301,1.43265,0.00128865,0.00128865,0.00128865
3,754.014,1.95339,1.75348,1.47463,0.67835,0.54006,0.58063,0.27691,1.73469,1.58813,1.40893,0.00186734,0.00186734,0.00186734
4,998.124,1.87926,1.64301,1.43195,0.65963,0.60367,0.65156,0.32934,1.60984,1.42199,1.28979,0.001802,0.001802,0.001802
5,1241.07,1.80707,1.49178,1.37998,0.69674,0.65062,0.68659,0.37329,1.56617,1.36328,1.29646,0.001736,0.001736,0.001736
6,1484.96,1.73645,1.38282,1.33592,0.74042,0.66643,0.72964,0.39355,1.53129,1.30051,1.26768,0.00167,0.00167,0.00167
7,1728.44,1.7223,1.34046,1.31854,0.75947,0.68362,0.7448,0.4052,1.52233,1.15586,1.22979,0.001604,0.001604,0.001604
8,1971.03,1.68203,1.28367,1.30254,0.79094,0.69418,0.75783,0.42433,1.49356,1.12164,1.24111,0.001538,0.001538,0.001538
9,2216.66,1.65085,1.23363,1.2802,0.81526,0.69235,0.7636,0.42621,1.56558,1.1461,1.25021,0.001472,0.001472,0.001472
10,2459.64,1.61162,1.16106,1.25929,0.76962,0.73146,0.76676,0.42101,1.50188,1.11278,1.22709,0.001406,0.001406,0.001406
11,2702.52,1.5999,1.13867,1.24442,0.81599,0.74857,0.81411,0.46566,1.42435,0.97954,1.1868,0.00134,0.00134,0.00134
12,2945.17,1.55668,1.08622,1.22278,0.83087,0.74801,0.81344,0.48803,1.39099,0.92758,1.14417,0.001274,0.001274,0.001274
13,3187.71,1.54614,1.06275,1.21096,0.84177,0.75291,0.82398,0.48344,1.41028,0.95671,1.16436,0.001208,0.001208,0.001208
14,3430.99,1.52717,1.04208,1.20018,0.87194,0.77872,0.85463,0.51831,1.36607,0.88395,1.12077,0.001142,0.001142,0.001142
15,3673.37,1.49142,1.01227,1.18651,0.87892,0.79144,0.86592,0.52466,1.35694,0.82096,1.127,0.001076,0.001076,0.001076
16,3915.58,1.49633,0.98866,1.18908,0.89507,0.79823,0.87085,0.53565,1.35526,0.80773,1.11606,0.00101,0.00101,0.00101
17,4157.77,1.46773,0.9455,1.16875,0.87532,0.80734,0.87019,0.53676,1.33229,0.79148,1.10574,0.000944,0.000944,0.000944
18,4399.65,1.446,0.92268,1.15827,0.89037,0.79978,0.87651,0.53943,1.31824,0.80852,1.09302,0.000878,0.000878,0.000878
19,4641.89,1.41945,0.90072,1.14173,0.88337,0.81529,0.87736,0.5528,1.28907,0.77528,1.0836,0.000812,0.000812,0.000812
20,4884.07,1.3733,0.85885,1.13024,0.89341,0.82324,0.88782,0.56314,1.28054,0.74138,1.07857,0.000746,0.000746,0.000746
21,5142.9,1.33761,0.79397,1.13781,0.8937,0.82791,0.89144,0.56391,1.27313,0.73223,1.07335,0.00068,0.00068,0.00068
22,5382.41,1.309,0.76106,1.12292,0.905,0.82732,0.89878,0.58141,1.21423,0.69484,1.05004,0.000614,0.000614,0.000614
23,5621.79,1.27444,0.74474,1.09945,0.91916,0.84404,0.90727,0.59519,1.20169,0.67429,1.0346,0.000548,0.000548,0.000548
24,5860.53,1.25048,0.70083,1.08551,0.92623,0.83708,0.91227,0.59688,1.1963,0.66262,1.03114,0.000482,0.000482,0.000482
25,6099.39,1.23931,0.68156,1.07172,0.90554,0.86187,0.91467,0.60615,1.18759,0.64919,1.02569,0.000416,0.000416,0.000416
26,6337.85,1.20925,0.67175,1.06754,0.92339,0.85519,0.91923,0.61153,1.17854,0.62411,1.0195,0.00035,0.00035,0.00035
27,6577.07,1.19086,0.65025,1.05887,0.92193,0.85505,0.92077,0.61618,1.16651,0.60706,1.01317,0.000284,0.000284,0.000284
28,6815.75,1.16872,0.62109,1.0435,0.92148,0.87572,0.92466,0.61718,1.16254,0.60395,1.00753,0.000218,0.000218,0.000218
29,7054.79,1.15359,0.5971,1.03002,0.93136,0.87145,0.92379,0.61922,1.16359,0.59954,1.01356,0.000152,0.000152,0.000152
30,7294.01,1.1279,0.58533,1.02057,0.92676,0.87584,0.92581,0.61992,1.15828,0.6016,1.01104,8.6e-05,8.6e-05,8.6e-05
